"Model","Lifespan"
"Microswitch Type 3",93743
"Navette B1-0122",137408
"Microswitch Type 3",104728
"GA Systems 00644",96437
"Microswitch Type 3",98146
"Navette B1-0122",116061
"Navette B1-0122",118458
"GA Systems 00644",106475
"Navette B1-0122",181271
"Microswitch Type 3",70030
"Navette B1-0122",163892
"Navette B1-0122",101705
"Microswitch Type 3",116755
"Microswitch Type 3",101705
"Microswitch Type 3",97799
"Navette B1-0122",79045
"Microswitch Type 3",99891
"Navette B1-0122",146546
"GA Systems 00644",94568
"Microswitch Type 3",96331
"Microswitch Type 3",93651
"Navette B1-0122",130542
"Microswitch Type 3",92091
"Navette B1-0122",107934
"Microswitch Type 3",89330
"Microswitch Type 3",88899
"GA Systems 00644",92294
"Navette B1-0122",128404
"GA Systems 00644",102389
"GA Systems 00644",88449
"Navette B1-0122",130781
"Microswitch Type 3",86629
"GA Systems 00644",104133
"GA Systems 00644",73059
"GA Systems 00644",84424
"Navette B1-0122",127752
"Navette B1-0122",116977
"GA Systems 00644",77431
"Navette B1-0122",131141
"Navette B1-0122",97747
"Navette B1-0122",91194
"GA Systems 00644",92630
"GA Systems 00644",94915
"Navette B1-0122",132163
"Navette B1-0122",110456
"Microswitch Type 3",82082
"Navette B1-0122",132061
"Microswitch Type 3",108881
"Navette B1-0122",135051
"Microswitch Type 3",96105
"Microswitch Type 3",101359
"Navette B1-0122",133324
"Navette B1-0122",129647
"Microswitch Type 3",83038
"Microswitch Type 3",97366
"Microswitch Type 3",96603
"Microswitch Type 3",101917
"GA Systems 00644",94930
"Navette B1-0122",135544
"Navette B1-0122",127848
"GA Systems 00644",80521
"Microswitch Type 3",93386
"GA Systems 00644",106032
"Navette B1-0122",101253
"GA Systems 00644",84693
"Navette B1-0122",139833
"Navette B1-0122",93589
"Navette B1-0122",141033
"Microswitch Type 3",105082
"Microswitch Type 3",86285
"Navette B1-0122",122617
"Navette B1-0122",135309
"Microswitch Type 3",100588
"Navette B1-0122",87248
"Navette B1-0122",136075
"Navette B1-0122",113300
"GA Systems 00644",88876
"GA Systems 00644",106509
"GA Systems 00644",104637
"GA Systems 00644",97604
"Microswitch Type 3",96067
"GA Systems 00644",103638
"Microswitch Type 3",91584
"GA Systems 00644",89399
"Microswitch Type 3",100043
"GA Systems 00644",79066
"Microswitch Type 3",88756
"Navette B1-0122",158188
"Microswitch Type 3",101422
"Microswitch Type 3",93712
"Microswitch Type 3",87997
"GA Systems 00644",76843
"Navette B1-0122",121427
"Navette B1-0122",145115
"GA Systems 00644",73825
"Microswitch Type 3",98024
"GA Systems 00644",81223
"Microswitch Type 3",74650
"Microswitch Type 3",89549
"Navette B1-0122",139713
"GA Systems 00644",92021
"GA Systems 00644",77727
"GA Systems 00644",95311
"Navette B1-0122",130476
"Navette B1-0122",96199
"Navette B1-0122",121591
"GA Systems 00644",78388
"Microswitch Type 3",84747
"Navette B1-0122",148656
"GA Systems 00644",94352
"GA Systems 00644",89474
"GA Systems 00644",100129
"GA Systems 00644",106908
"Microswitch Type 3",94941
"Navette B1-0122",142978
"Navette B1-0122",128768
"GA Systems 00644",88028
"Navette B1-0122",131701
"GA Systems 00644",86454
"GA Systems 00644",102607
"Navette B1-0122",141459
"GA Systems 00644",80570
"Navette B1-0122",118801
"Microswitch Type 3",91733
"GA Systems 00644",78846
"Navette B1-0122",157099
"Microswitch Type 3",103728
"GA Systems 00644",93427
"Microswitch Type 3",104513
"GA Systems 00644",75394
"Navette B1-0122",107525
"GA Systems 00644",101959
"Navette B1-0122",139369
"GA Systems 00644",80034
"GA Systems 00644",92180
"Microswitch Type 3",101238
"Navette B1-0122",143186
"Navette B1-0122",112416
"GA Systems 00644",86881
"GA Systems 00644",80712
"GA Systems 00644",98856
"Navette B1-0122",115145
"Navette B1-0122",113324
"Microswitch Type 3",121267
"GA Systems 00644",108465
"Microswitch Type 3",88444
"Microswitch Type 3",99904
"Microswitch Type 3",88475
"GA Systems 00644",80128
"Microswitch Type 3",101306
"Navette B1-0122",158729
"Microswitch Type 3",94081
"GA Systems 00644",88963
"Navette B1-0122",129904
"Microswitch Type 3",81192
"GA Systems 00644",94904
"Navette B1-0122",130969
"GA Systems 00644",106674
"Navette B1-0122",86694
"GA Systems 00644",98853
"GA Systems 00644",77621
"Microswitch Type 3",103538
"Microswitch Type 3",93821
"Microswitch Type 3",115261
"Navette B1-0122",138601
"Microswitch Type 3",95911
"Microswitch Type 3",111704
"Microswitch Type 3",95178
"Microswitch Type 3",109518
"Microswitch Type 3",84645
"Navette B1-0122",122270
"GA Systems 00644",82379
"Microswitch Type 3",107896
"Microswitch Type 3",109097
"Microswitch Type 3",96115
"Navette B1-0122",124456
"Navette B1-0122",142562
"GA Systems 00644",67551
"Microswitch Type 3",92536
"Navette B1-0122",114495
"Microswitch Type 3",93736
"Navette B1-0122",96927
"Navette B1-0122",122044
"GA Systems 00644",100116
"GA Systems 00644",84802
"GA Systems 00644",81892
"Navette B1-0122",115850
"GA Systems 00644",75912
"Navette B1-0122",130209
"GA Systems 00644",90087
"Navette B1-0122",120667
"Microswitch Type 3",105687
"Navette B1-0122",142535
"Navette B1-0122",129472
"Navette B1-0122",128918
"Microswitch Type 3",103771
"GA Systems 00644",73651
"GA Systems 00644",86832
"Navette B1-0122",123144
"Microswitch Type 3",113924
"Microswitch Type 3",92846
"GA Systems 00644",81634
"Navette B1-0122",108182
"GA Systems 00644",87977
"GA Systems 00644",87676
"GA Systems 00644",99071
"Microswitch Type 3",92938
"Navette B1-0122",138582
"GA Systems 00644",83959
"GA Systems 00644",89223
"GA Systems 00644",93849
"GA Systems 00644",72413
"Navette B1-0122",140042
"GA Systems 00644",81565
"GA Systems 00644",77725
"GA Systems 00644",98895
"Navette B1-0122",118061
"Navette B1-0122",131307
"GA Systems 00644",84501
"Navette B1-0122",145872
"GA Systems 00644",79870
"Microswitch Type 3",101774
"Navette B1-0122",124937
"Navette B1-0122",114981
"Navette B1-0122",144396
"Navette B1-0122",113795
"Navette B1-0122",96530
"Microswitch Type 3",114989
"Navette B1-0122",105766
"Navette B1-0122",110143
"Navette B1-0122",139098
"GA Systems 00644",85611
"GA Systems 00644",100967
"Navette B1-0122",140402
"Microswitch Type 3",94684
"GA Systems 00644",78835
"Microswitch Type 3",93800
"GA Systems 00644",85003
"Microswitch Type 3",98881
"Navette B1-0122",131088
"Navette B1-0122",148725
"Microswitch Type 3",105511
"GA Systems 00644",101492
"Microswitch Type 3",100532
"Microswitch Type 3",117911
"GA Systems 00644",64169
"Microswitch Type 3",103654
"Navette B1-0122",160340
"GA Systems 00644",102048
"Microswitch Type 3",106367
"Navette B1-0122",93285
"Navette B1-0122",107834
"Microswitch Type 3",125917
"GA Systems 00644",81880
"GA Systems 00644",101014
"GA Systems 00644",95402
"Navette B1-0122",102805
"GA Systems 00644",101766
"Navette B1-0122",126914
"Navette B1-0122",121012
"Microswitch Type 3",118464
"Navette B1-0122",139087
"GA Systems 00644",85104
"Microswitch Type 3",81399
"Microswitch Type 3",98321
"GA Systems 00644",80962
"GA Systems 00644",100130
"Navette B1-0122",140761
"Navette B1-0122",135023
"Navette B1-0122",118585
"Navette B1-0122",155554
"GA Systems 00644",79502
"GA Systems 00644",82960
"Navette B1-0122",123475
"GA Systems 00644",83584
"Microswitch Type 3",103102
"GA Systems 00644",95848
"Navette B1-0122",153633
"GA Systems 00644",94962
"GA Systems 00644",94624
"GA Systems 00644",104126
"Navette B1-0122",121598
"Navette B1-0122",98330
"Microswitch Type 3",114241
"Navette B1-0122",105300
"Navette B1-0122",86884
"Microswitch Type 3",85742
"GA Systems 00644",89652
"Navette B1-0122",109411
"Microswitch Type 3",100480
"Navette B1-0122",119601
"GA Systems 00644",111676
"Navette B1-0122",133594
"Microswitch Type 3",115415
"Navette B1-0122",115998
"Navette B1-0122",116256
"GA Systems 00644",81963
"GA Systems 00644",94171
"Microswitch Type 3",108913
"Microswitch Type 3",107706
"Microswitch Type 3",108335
"Navette B1-0122",131610
"Navette B1-0122",136299
"GA Systems 00644",85354
"GA Systems 00644",105423
"Navette B1-0122",117928
"Microswitch Type 3",99685
"Microswitch Type 3",96924
"Microswitch Type 3",107529
"GA Systems 00644",93995
"Navette B1-0122",131494
"GA Systems 00644",90922
"GA Systems 00644",104056
"Navette B1-0122",126154
"Microswitch Type 3",90134
"Microswitch Type 3",104600
"GA Systems 00644",79609
"Microswitch Type 3",88093
"GA Systems 00644",72884
"GA Systems 00644",73597
"Microswitch Type 3",97135
"GA Systems 00644",91051
"GA Systems 00644",95103
"Microswitch Type 3",101717
"Navette B1-0122",105237
"Navette B1-0122",100985
"Navette B1-0122",142223
"Navette B1-0122",71469
"Navette B1-0122",140766
"GA Systems 00644",108215
"GA Systems 00644",80373
"Microswitch Type 3",110213
"Navette B1-0122",117191
"Microswitch Type 3",87336
"Navette B1-0122",129759
"GA Systems 00644",94025
"Navette B1-0122",123784
"GA Systems 00644",107415
"GA Systems 00644",89888
"GA Systems 00644",93655
"Navette B1-0122",86906
"GA Systems 00644",85294
"Microswitch Type 3",96469
"Microswitch Type 3",117564
"Microswitch Type 3",95946
"Microswitch Type 3",95080
"Microswitch Type 3",102090
"Navette B1-0122",117585
"Microswitch Type 3",119397
"Microswitch Type 3",107254
"Microswitch Type 3",96322
"Microswitch Type 3",99004
"Microswitch Type 3",91633
"Navette B1-0122",145793
"Microswitch Type 3",100395
"Microswitch Type 3",106161
"Navette B1-0122",107689
"Microswitch Type 3",94216
"Navette B1-0122",127753
"Microswitch Type 3",88076
"GA Systems 00644",92963
"GA Systems 00644",84057
"Navette B1-0122",109771
"Microswitch Type 3",93846
"GA Systems 00644",110727
"Microswitch Type 3",108369
"Microswitch Type 3",101472
"Microswitch Type 3",103262
"GA Systems 00644",87595
"GA Systems 00644",96165
"Navette B1-0122",115680
"Microswitch Type 3",109775
"Navette B1-0122",118084
"Microswitch Type 3",88040
"GA Systems 00644",96602
"GA Systems 00644",99088
"Microswitch Type 3",95504
"Navette B1-0122",124789
"GA Systems 00644",81988
"Navette B1-0122",140428
"Navette B1-0122",117497
"GA Systems 00644",83863
"GA Systems 00644",94981
"GA Systems 00644",87992
"GA Systems 00644",93766
"Microswitch Type 3",91857
"Navette B1-0122",148902
"Navette B1-0122",125117
"Microswitch Type 3",96196
"GA Systems 00644",101496
"GA Systems 00644",87678
"Microswitch Type 3",104995
"Microswitch Type 3",97681
"Microswitch Type 3",99748
"Microswitch Type 3",91147
"Microswitch Type 3",112580
"Navette B1-0122",84762
"Navette B1-0122",109953
"Microswitch Type 3",87481
"Navette B1-0122",129678
"Navette B1-0122",91896
"Navette B1-0122",149800
"Navette B1-0122",137875
"Microswitch Type 3",99738
"Microswitch Type 3",94256
"GA Systems 00644",97347
"GA Systems 00644",98930
"Microswitch Type 3",83993
"Microswitch Type 3",91938
"GA Systems 00644",90386
"Microswitch Type 3",96773
"Navette B1-0122",126221
"Microswitch Type 3",108977
"GA Systems 00644",113182
"Navette B1-0122",102967
"Navette B1-0122",124278
"Microswitch Type 3",104870
"GA Systems 00644",107188
"Navette B1-0122",126645
"Microswitch Type 3",107317
"GA Systems 00644",85843
"Microswitch Type 3",91917
"Microswitch Type 3",99012
"GA Systems 00644",105913
"Microswitch Type 3",120308
"Navette B1-0122",103803
"GA Systems 00644",105484
"Navette B1-0122",124919
"Navette B1-0122",48637
"Microswitch Type 3",83464
"Microswitch Type 3",114103
"Microswitch Type 3",96918
"Microswitch Type 3",112842
"Microswitch Type 3",82273
"Navette B1-0122",140226
"GA Systems 00644",99781
"GA Systems 00644",82167
"GA Systems 00644",99549
"Navette B1-0122",162464
"Navette B1-0122",119862
"Navette B1-0122",99200
"Navette B1-0122",103968
"Navette B1-0122",109656
"GA Systems 00644",70096
"GA Systems 00644",82494
"Navette B1-0122",118123
"Microswitch Type 3",107908
"GA Systems 00644",83005
"GA Systems 00644",99348
"Microswitch Type 3",84765
"Navette B1-0122",130359
"Microswitch Type 3",97073
"GA Systems 00644",86948
"GA Systems 00644",90379
"Microswitch Type 3",94778
"Navette B1-0122",151527
"Microswitch Type 3",98730
"Navette B1-0122",169679
"Microswitch Type 3",82397
"GA Systems 00644",97567
"GA Systems 00644",85957
"GA Systems 00644",63265
"Microswitch Type 3",95947
"Navette B1-0122",118427
"GA Systems 00644",94662
"Microswitch Type 3",90905
"Navette B1-0122",135877
"Microswitch Type 3",85219
"GA Systems 00644",79997
"GA Systems 00644",64864
"GA Systems 00644",82327
"GA Systems 00644",90984
"GA Systems 00644",86477
"GA Systems 00644",92328
"Navette B1-0122",157000
"Navette B1-0122",127830
"GA Systems 00644",80125
"Microswitch Type 3",90949
"Navette B1-0122",157758
"GA Systems 00644",93561
"Microswitch Type 3",100092
"Navette B1-0122",107743
"GA Systems 00644",91799
"Navette B1-0122",159055
"Microswitch Type 3",67029
"Microswitch Type 3",102249
"Microswitch Type 3",95686
"Navette B1-0122",123349
"Navette B1-0122",129967
"GA Systems 00644",88612
"Microswitch Type 3",92768
"GA Systems 00644",98007
"Navette B1-0122",140151
"GA Systems 00644",100690
"Microswitch Type 3",118209
"GA Systems 00644",89683
"GA Systems 00644",106898
"GA Systems 00644",88542
"Navette B1-0122",119260
"Navette B1-0122",118296
"GA Systems 00644",89410
"GA Systems 00644",82808
"GA Systems 00644",104830
"Microswitch Type 3",108437
"Microswitch Type 3",86976
"Navette B1-0122",121027
"Navette B1-0122",112351
"Navette B1-0122",133002
"GA Systems 00644",84459
"GA Systems 00644",84029
"Navette B1-0122",129712
"GA Systems 00644",96162
"GA Systems 00644",108961
"Navette B1-0122",93174
"Navette B1-0122",120171
"GA Systems 00644",89364
"GA Systems 00644",82820
"Microswitch Type 3",101023
"GA Systems 00644",93832
"Navette B1-0122",119768
"GA Systems 00644",96226
"GA Systems 00644",88865
"GA Systems 00644",90510
"GA Systems 00644",82726
"GA Systems 00644",84184
"Microswitch Type 3",88321
"Microswitch Type 3",102411
"Microswitch Type 3",96192
"Navette B1-0122",102488
"Microswitch Type 3",89633
"Microswitch Type 3",82517
"Navette B1-0122",119390
"GA Systems 00644",80866
"Navette B1-0122",126533
"Navette B1-0122",132106
"GA Systems 00644",82219
"GA Systems 00644",69286
"GA Systems 00644",104266
"Microswitch Type 3",109035
"Microswitch Type 3",119382
"Navette B1-0122",114589
"GA Systems 00644",78808
"GA Systems 00644",98556
"Navette B1-0122",145417
"Microswitch Type 3",125396
"GA Systems 00644",68669
"Microswitch Type 3",107760
"GA Systems 00644",111647
"Microswitch Type 3",89545
"GA Systems 00644",88695
"GA Systems 00644",69146
"GA Systems 00644",95825
"Navette B1-0122",126983
"Microswitch Type 3",108286
"Navette B1-0122",136629
"GA Systems 00644",78854
"Navette B1-0122",109083
"Microswitch Type 3",105938
"Navette B1-0122",152340
"GA Systems 00644",94537
"Navette B1-0122",116994
"Navette B1-0122",94112
"Navette B1-0122",142221
"Microswitch Type 3",90065
"Navette B1-0122",140945
"Navette B1-0122",177778
"Microswitch Type 3",107583
"Microswitch Type 3",109081
"Microswitch Type 3",95299
"Navette B1-0122",119144
"Microswitch Type 3",83427
"GA Systems 00644",86953
"Microswitch Type 3",96764
"Navette B1-0122",133043
"Navette B1-0122",106501
"Microswitch Type 3",86725
"GA Systems 00644",67924
"Navette B1-0122",148404
"Navette B1-0122",125976
"Microswitch Type 3",94604
"GA Systems 00644",93519
"Microswitch Type 3",102745
"Navette B1-0122",106090
"Microswitch Type 3",113139
"Microswitch Type 3",106916
"Microswitch Type 3",91758
"Microswitch Type 3",79131
"GA Systems 00644",90509
"GA Systems 00644",71090
"Navette B1-0122",145517
"Microswitch Type 3",87416
"Microswitch Type 3",120436
"Microswitch Type 3",111419
"Navette B1-0122",148006
"Microswitch Type 3",100704
"Microswitch Type 3",77333
"Navette B1-0122",106805
"Navette B1-0122",150649
"Navette B1-0122",124389
"Microswitch Type 3",100189
"Navette B1-0122",119327
"Microswitch Type 3",93572
"GA Systems 00644",91508
"Microswitch Type 3",116890
"Microswitch Type 3",99306
"GA Systems 00644",86436
"Microswitch Type 3",111872
"Microswitch Type 3",120859
"Navette B1-0122",103346
"GA Systems 00644",92559
"GA Systems 00644",77071
"Microswitch Type 3",109017
"GA Systems 00644",83937
"Navette B1-0122",148637
"Navette B1-0122",153367
"GA Systems 00644",81463
"Navette B1-0122",118839
"Navette B1-0122",117610
"GA Systems 00644",93015
"Navette B1-0122",121793
"GA Systems 00644",97436
"Navette B1-0122",122069
"Navette B1-0122",115749
"Microswitch Type 3",111458
"Navette B1-0122",130014
"Microswitch Type 3",104061
"Microswitch Type 3",100536
"Navette B1-0122",121408
"GA Systems 00644",78411
"Navette B1-0122",113399
"Microswitch Type 3",114110
"Navette B1-0122",104186
"Microswitch Type 3",86521
"GA Systems 00644",81755
"Microswitch Type 3",102847
"Microswitch Type 3",105474
"Navette B1-0122",86961
"Microswitch Type 3",86134
"Navette B1-0122",120443
"Navette B1-0122",141930
"GA Systems 00644",73103
"GA Systems 00644",90111
"Microswitch Type 3",93302
"Navette B1-0122",159569
"Navette B1-0122",118993
"Navette B1-0122",145290
"Microswitch Type 3",107176
"Navette B1-0122",126170
"Microswitch Type 3",100179
"Navette B1-0122",113176
"GA Systems 00644",96419
"GA Systems 00644",95178
"Microswitch Type 3",115213
"Navette B1-0122",114326
"Navette B1-0122",147668
"Navette B1-0122",121635
"Navette B1-0122",115482
"Microswitch Type 3",92681
"Microswitch Type 3",100195
"Navette B1-0122",118330
"GA Systems 00644",113155
"GA Systems 00644",85277
"Microswitch Type 3",99572
"Microswitch Type 3",98114
"Navette B1-0122",96605
"Navette B1-0122",121193
"GA Systems 00644",79964
"GA Systems 00644",95239
"Microswitch Type 3",90824
"GA Systems 00644",89438
"GA Systems 00644",100005
"Navette B1-0122",125366
"Navette B1-0122",126880
"GA Systems 00644",65742
"GA Systems 00644",90662
"GA Systems 00644",79105
"Navette B1-0122",116097
"GA Systems 00644",101656
"GA Systems 00644",99850
"GA Systems 00644",82575
"Microswitch Type 3",91647
"GA Systems 00644",85119
"Navette B1-0122",132437
"Microswitch Type 3",93611
"GA Systems 00644",100042
"Microswitch Type 3",105510
"Navette B1-0122",120356
"Microswitch Type 3",94216
"GA Systems 00644",93607
"Navette B1-0122",106663
"Navette B1-0122",112618
"GA Systems 00644",75613
"Microswitch Type 3",103977
"Microswitch Type 3",92705
"Navette B1-0122",139470
"Navette B1-0122",148479
"GA Systems 00644",85812
"GA Systems 00644",87020
"GA Systems 00644",89063
"Navette B1-0122",127968
"Microswitch Type 3",105640
"Navette B1-0122",152540
"GA Systems 00644",87452
"GA Systems 00644",89726
"GA Systems 00644",99095
"Navette B1-0122",134020
"Navette B1-0122",162759
"Microswitch Type 3",109240
"GA Systems 00644",101888
"Microswitch Type 3",98688
"GA Systems 00644",97430
"GA Systems 00644",89682
"GA Systems 00644",84230
"GA Systems 00644",92772
"Microswitch Type 3",96577
"GA Systems 00644",90620
"GA Systems 00644",97496
"Navette B1-0122",110128
"Microswitch Type 3",83954
"Navette B1-0122",143350
"GA Systems 00644",73726
"Microswitch Type 3",100871
"Navette B1-0122",105761
"Microswitch Type 3",110051
"Microswitch Type 3",97106
"Navette B1-0122",119834
"GA Systems 00644",92521
